"country_code","pop_in_millions","medals","medals_per_million"
"BAH","0.391232","6","15.3361688205464"
"JAM","2.881355","30","10.4117680743956"
"GRN","0.107317","1","9.31818817149194"
"AUS","24.210809","34","1.40433142899108"
"BRN","1.425171","2","1.40334037108529"
"DEN","5.72801","6","1.04748420481109"
"NZL","4.6932","4","0.852296940253985"
"HUN","9.814023","8","0.815160103048464"
"TTO","1.364962","1","0.732621127914184"
"CRO","4.174349","3","0.718674935900185"
"CAN","36.264604","25","0.689377443636224"
"GBR","65.595565","33","0.503082792258897"
"USA","323.405935","133","0.411247864081406"
"QAT","2.569804","1","0.389134735567382"
"SWE","9.923085","3","0.302325335316588"
"GRE","10.775971","3","0.278397185738529"
"KEN","48.461567","13","0.26825381028228"
"NED","17.030314","4","0.234875293550078"
"BLR","9.501534","2","0.210492326817964"
"FRA","66.859768","14","0.209393487575368"
"SVK","5.430798","1","0.184135001891066"
"SGP","5.607283","1","0.178339491693214"
"BEL","11.331422","2","0.176500354500962"
"JPN","126.994511","22","0.173235833791273"
"SRB","7.058322","1","0.141676732798532"
"BUL","7.127822","1","0.140295310404777"
"RUS","144.342396","20","0.138559429206094"
"RSA","56.015473","7","0.124965471593893"
"SUI","8.373338","1","0.119426685032898"
"TJK","8.734951","1","0.114482611293412"
"KAZ","17.794055","2","0.112397089926945"
"BDI","10.524117","1","0.0950198482209956"
"CZE","10.566332","1","0.0946402214126908"
"CUB","11.475982","1","0.0871385124166281"
"ESP","46.484062","4","0.0860509995877727"
"POL","37.970087","3","0.0790095635019219"
"ETH","102.403196","8","0.0781225617216088"
"UKR","45.004645","3","0.0666597858954337"
"ITA","60.627498","4","0.0659766629327174"
"GER","82.348669","5","0.0607174355179924"
"ALG","40.606052","2","0.0492537417821363"
"PRK","25.36862","1","0.0394187780021144"
"VEN","31.568179","1","0.0316774686306739"
"BRA","207.652865","5","0.0240786468320579"
"COL","48.653419","1","0.0205535401325033"
"CHN","1378.665","22","0.0159574660994513"
"TUR","79.512426","1","0.0125766505979833"
"MEX","127.540423","1","0.00784065143017442"